Student ID,AssignmentOneAverage,AssignmentOneAttempt,AssignmentTwoAverage,AssignmentTwoAttempt,AssignmentThreeAverage,AssignmentThreeAttempt,Gender,Course,Rating
-123q,1,76,42,2,76,2,1,rgreereh,7
6758,70,3,50,3,80,8,1,Introduction to Operating Systems(Udacity),6
19613,70,5,80,9,40,2,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),8
11166,90,3,80,8,0,0,1,Introduction to Operating Systems(Udacity),7
12469,80,3,90,6,60,9,0,Operating Running Systems(PluraSight),7
13146,0,0,80,5,90,2,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),5
1977,90,8,80,1,70,2,0,Computer Hardware and Operating Systems(EDX),6
6544,80,5,80,9,70,5,1,Operating System(Youtube -GateSmasher),5
19843,80,8,80,8,50,1,0,Operating Systems from scratch - Part 1(Udemy),6
7289,80,8,80,6,60,8,0,Operating Systems from scratch - Part 2(Udemy),6
7469,90,8,0,0,50,5,0,Real Time Operating System(SWAYAM),7
2904,80,3,80,8,0,0,1,Advanced Operating Systems(Udacity),7
18247,80,5,80,4,80,9,0,Embedded and Real Time Operating Systems(Youtube),6
943,80,3,70,3,70,1,0,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
1478,80,8,60,2,80,2,1,Operating Running Systems(PluraSight),7
409,90,8,0,0,60,6,0,Embedded Hardware and Operating Systems(Coursera),6
7459,0,0,90,3,80,4,0,Embedded and Real Time Operating Systems(Youtube),7
14123,70,8,70,9,80,8,0,Operating Systems and You: Becoming a Power User(Coursera),6
13956,80,5,70,8,80,7,1,Operating Systems from scratch - Part 1(Udemy),6
14892,90,8,60,3,80,9,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
9601,90,5,70,3,0,0,0,Introduction to Operating Systems(Swayam),5
18801,80,8,70,6,60,6,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
21199,70,5,90,4,80,6,0,Operating Systems and You: Becoming a Power User(Coursera),5
4961,70,5,70,2,80,5,0,Introduction to Operating Systems(Swayam),7
11855,90,8,60,2,70,1,0,Understanding Computer Systems(FutureLearn),7
7786,90,8,0,0,60,2,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
19897,80,3,80,3,70,1,0,Embedded Hardware and Operating Systems(Coursera),7
21209,90,8,70,9,80,2,0,Operating Systems from scratch - Part 2(Udemy),6
16682,90,8,80,2,50,7,1,Operating Systems from scratch - Part 1(Udemy),7
1968,0,0,80,5,60,2,1,Operating System(Udemy),7
1412,90,3,80,3,80,8,1,Hello (Real) World with ROS – Robot Operating System(EDX),8
16609,80,5,0,0,80,7,0,Linux Operating System Fundamentals(Udemy),7
4246,80,3,60,3,80,1,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
6868,70,8,90,6,60,4,1,Getting Started with Junos Operating System(Coursera),7
1724,70,3,80,9,60,7,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),4
8825,70,8,0,0,80,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),6
14118,0,0,80,5,70,2,1,Getting Started with Junos Operating System(Coursera),6
15606,80,3,70,6,70,8,1,Advanced Operating Systems(Udacity),7
5346,0,0,90,4,60,5,1,Operating Systems from scratch - Part 2(Udemy),7
11051,0,0,70,7,80,4,0,Introduction to Operating Systems(Swayam),5
924,0,0,70,4,90,5,1,Operating System(Udemy),7
19380,90,5,70,7,60,1,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
7916,0,0,80,7,50,2,1,Operating Running Systems(PluraSight),7
20122,0,0,90,9,50,2,1,Operating System(Udemy),8
3506,90,8,80,6,60,7,1,Operating Azure Stack Hub(PLuralSight),7
2196,80,8,70,4,80,2,1,Linux Operating System Fundamentals(Udemy),4
10643,80,8,70,1,0,0,0,Operating Systems and You: Becoming a Power User(Coursera),4
2020,80,8,80,9,80,6,1,Operating System(Youtube -GateSmasher),6
277,70,5,80,9,70,4,0,Real Time Operating System(SWAYAM),6
13388,90,3,90,9,80,7,1,Operating System(Youtube -GateSmasher),7
19633,90,5,80,6,60,9,0,Operating Systems and You: Becoming a Power User(Coursera),7
9157,80,8,0,0,60,6,0,Cybersecurity Roles and Operating System Security(EDX),4
567,80,3,0,0,70,5,0,Real Time Operating System(SWAYAM),6
21024,60,3,90,5,90,1,1,Operating Running Systems(PluraSight),5
5542,0,0,80,9,70,2,1,Embedded Hardware and Operating Systems(Coursera),7
18711,80,5,0,0,60,2,0,Embedded and Real Time Operating Systems(Youtube),6
10306,0,0,80,9,60,3,1,Operating Systems Concept and Design Principles for Beginner(Udemy),6
18299,0,0,80,4,60,1,0,Operating Systems and You: Becoming a Power User(Coursera),6
6505,90,3,70,1,60,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
20143,80,3,0,0,70,2,0,Operating Systems(SWAYAM),7
19989,0,0,80,2,80,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
16091,80,8,60,7,80,5,0,Operating System(Udemy),6
17546,70,5,80,3,0,0,1,Introduction to Operating Systems(Udacity),8
19195,70,8,90,6,50,4,0,Operating Azure Stack Hub(PLuralSight),5
4695,70,3,40,2,80,9,0,Operating Azure Stack Hub(PLuralSight),6
2220,90,3,80,2,70,3,1,Real Time Operating System(SWAYAM),6
1966,80,5,70,6,60,3,1,Understanding Computer Systems(FutureLearn),7
13299,80,8,80,3,80,7,0,Operating Systems(SWAYAM),6
3921,90,8,60,1,70,2,0,Embedded and Real Time Operating Systems(Youtube),8
5965,80,8,70,8,60,5,0,Hello (Real) World with ROS – Robot Operating System(EDX),7
10523,0,0,80,4,60,1,0,Operating System(Udemy),5
3584,80,3,80,9,80,2,1,Operating Systems(SWAYAM),6
13021,80,8,60,4,70,9,0,Operating Systems and You: Becoming a Power User(Coursera),7
10312,80,5,80,8,70,3,1,Operating Systems(SWAYAM),7
228,70,8,80,5,70,8,1,Operating System(Udemy),7
141,80,3,80,9,80,9,0,Operating System(Udemy),7
16257,0,0,80,1,70,1,0,Operating Systems(SWAYAM),7
7115,80,8,70,9,60,2,0,Operating Systems from scratch - Part 2(Udemy),6
20760,60,5,80,8,80,7,1,Operating System(Udemy),6
6637,80,3,80,6,70,9,0,Operating System(Udemy),6
5108,80,3,80,9,60,3,1,Advanced Operating Systems(Udacity),6
21167,80,5,70,5,50,1,0,Operating Azure Stack Hub(PLuralSight),7
16828,90,3,80,6,80,2,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
3468,80,3,90,2,60,1,1,Operating Systems(SWAYAM),7
5971,80,5,80,9,60,8,0,Operating Azure Stack Hub(PLuralSight),7
5619,70,5,0,0,80,1,0,Cybersecurity Roles and Operating System Security(EDX),7
9763,70,3,90,4,80,9,0,Operating System(Youtube -GateSmasher),7
9281,80,8,80,4,70,1,0,Introduction to Operating Systems(Udacity),6
7170,70,3,80,1,80,7,1,Operating Systems from scratch - Part 1(Udemy),7
11466,70,8,90,6,70,2,1,Operating Systems Concept and Design Principles for Beginner(Udemy),8
3362,70,5,80,7,50,1,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),4
11835,80,8,90,2,70,3,0,Embedded Hardware and Operating Systems(Coursera),3
2688,80,5,80,7,70,8,1,Hello (Real) World with ROS – Robot Operating System(EDX),7
18280,0,0,0,0,80,1,1,Operating Systems from scratch - Part 2(Udemy),7
9934,0,0,80,6,70,7,1,Real Time Operating System(SWAYAM),7
2996,90,8,90,7,50,7,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),6
3960,70,3,70,6,80,7,1,Real Time Operating System(SWAYAM),7
11230,0,0,90,5,70,1,1,Operating Systems from scratch - Part 1(Udemy),7
6739,80,8,70,1,70,1,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
12146,80,3,80,3,0,0,1,Getting Started with Junos Operating System(Coursera),7
9784,90,8,90,6,70,4,1,Operating Systems Concept and Design Principles for Beginner(Udemy),4
1398,70,5,80,7,70,1,1,Embedded and Real Time Operating Systems(Youtube),7
5282,90,3,60,5,70,2,1,Advanced Operating Systems(Udacity),6
17461,90,5,80,4,60,7,0,Embedded Hardware and Operating Systems(Coursera),7
15256,60,3,80,6,80,5,1,Introduction to Operating Systems(Swayam),6
3644,0,0,0,0,90,7,1,Operating System(Youtube -GateSmasher),4
145,0,0,80,7,40,2,0,Operating Systems and You: Becoming a Power User(Coursera),4
19172,0,0,80,1,70,3,1,Embedded Hardware and Operating Systems(Coursera),7
17925,90,8,70,2,50,5,0,Embedded Hardware and Operating Systems(Coursera),2
10286,90,8,70,7,60,7,1,Hello (Real) World with ROS – Robot Operating System(EDX),4
16449,70,3,80,5,80,5,0,Embedded and Real Time Operating Systems(Youtube),6
9917,60,3,90,7,80,9,0,Operating Running Systems(PluraSight),8
20818,90,5,0,0,40,3,1,Operating System(Udemy),7
8928,70,8,0,0,80,8,1,Operating System(Udemy),7
2708,90,8,90,7,60,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),6
3963,80,5,90,3,60,1,0,Operating System(Youtube -GateSmasher),6
5945,90,5,0,0,70,8,0,Operating Systems and You: Becoming a Power User(Coursera),4
2258,80,3,70,1,80,5,1,Operating System(Udemy),8
7329,80,5,80,4,70,6,0,Linux Operating System Fundamentals(Udemy),7
2592,80,3,80,8,50,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),4
4299,80,3,90,5,50,5,0,Operating Systems from scratch - Part 1(Udemy),6
16857,80,8,80,6,60,6,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
9087,0,0,80,2,70,7,0,Operating Systems from scratch - Part 2(Udemy),6
17440,80,8,70,2,50,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),6
3872,80,8,0,0,60,5,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),8
10076,90,3,80,3,70,7,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
16333,90,8,90,5,40,4,0,Embedded and Real Time Operating Systems(Youtube),7
17567,90,3,0,0,70,2,0,Cybersecurity Roles and Operating System Security(EDX),6
3512,60,8,80,9,80,7,1,Embedded Hardware and Operating Systems(Coursera),7
18307,80,8,80,4,70,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
5882,60,5,90,3,0,0,1,Getting Started with Junos Operating System(Coursera),7
9712,80,3,80,4,60,5,1,Operating Azure Stack Hub(PLuralSight),6
19870,80,8,80,2,30,1,1,Computer Hardware and Operating Systems(EDX),8
8971,90,3,0,0,80,3,0,Operating Systems from scratch - Part 2(Udemy),7
11578,70,8,90,5,70,1,1,Operating Systems from scratch - Part 1(Udemy),7
5207,90,3,70,3,70,9,0,Real Time Operating System(SWAYAM),7
10429,90,3,0,0,70,3,0,Using Python to Interact with the Operating System(Coursera),7
20627,90,8,80,2,60,3,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
5737,90,8,80,7,70,2,0,Getting Started with Junos Operating System(Coursera),8
4187,0,0,80,4,70,6,0,Operating Systems Concept and Design Principles for Beginner(Udemy),6
399,0,0,80,4,0,0,0,Cybersecurity Roles and Operating System Security(EDX),7
17380,0,0,90,6,50,4,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),5
20759,80,3,90,3,80,9,0,Getting Started with Junos Operating System(Coursera),7
1576,70,8,70,9,80,3,1,Operating Systems from scratch - Part 2(Udemy),5
18551,80,5,80,4,60,6,0,Hello (Real) World with ROS – Robot Operating System(EDX),8
21018,60,3,90,6,70,7,1,Cybersecurity Roles and Operating System Security(EDX),7
20949,90,8,80,8,50,6,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
18697,80,3,80,3,70,8,0,Linux Operating System Fundamentals(Udemy),6
11680,80,8,60,3,60,1,1,Cybersecurity Roles and Operating System Security(EDX),7
1754,80,3,70,9,70,3,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
20717,80,8,70,6,70,5,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
7362,60,3,80,6,80,7,1,Operating System(Udemy),6
8325,0,0,80,2,70,9,0,Introduction to Operating Systems(Swayam),6
1036,80,8,60,6,70,4,1,Linux Operating System Fundamentals(Udemy),7
20936,80,8,80,3,0,0,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
8165,0,0,80,3,80,8,0,Real Time Operating System(SWAYAM),7
4558,80,8,80,8,60,7,1,Computer Hardware and Operating Systems(EDX),7
17954,80,3,60,1,80,4,1,Embedded Hardware and Operating Systems(Coursera),8
21358,80,5,80,3,0,0,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
18385,90,8,70,8,50,1,0,Operating Running Systems(PluraSight),6
20713,90,5,80,4,70,6,0,Operating Systems from scratch - Part 1(Udemy),6
18051,80,8,80,5,60,6,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
7865,90,3,0,0,70,1,0,Embedded and Real Time Operating Systems(Youtube),8
17675,80,8,0,0,70,5,0,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
8617,50,5,90,6,80,3,0,Advanced Operating Systems(Udacity),6
15334,80,5,80,6,60,9,1,Cybersecurity Roles and Operating System Security(EDX),8
6417,60,3,80,8,70,2,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
11496,80,8,70,5,50,3,1,Become a Master of Operating Systems at comfort of your Home (Udemy),8
6747,70,8,80,2,70,5,0,Operating System(Youtube -GateSmasher),6
15370,80,3,80,6,70,2,1,Operating Systems and You: Becoming a Power User(Coursera),6
3813,50,3,80,5,80,5,0,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),6
6041,80,5,60,1,50,1,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
18476,90,5,80,9,70,5,1,Embedded Hardware and Operating Systems(Coursera),6
21264,60,3,80,1,80,7,1,Operating Systems from scratch - Part 1(Udemy),5
4635,0,0,80,8,50,1,0,Getting Started with Junos Operating System(Coursera),6
3524,0,0,80,5,70,3,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
18452,90,8,0,0,80,5,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
18411,80,8,80,2,70,5,0,Operating System(Udemy),7
1685,80,8,70,8,70,2,0,Embedded Hardware and Operating Systems(Coursera),8
