Student ID,AssignmentOneCurrentScore,AssignmentOneAttempt,AssignmentTwoCurrentScore,AssignmentTwoAttempt,AssignmentThreeCurrentScore,AssignmentThreeAttempt,Gender,Course,Rating
6758,70,3,50,3,80,8,1,Introduction to Operating Systems(Udacity),6
15305,40,8,70,4,70,7,0,Cybersecurity Roles and Operating System Security(EDX),8
18421,0,0,10,6,60,8,0,Embedded and Real Time Operating Systems(Youtube),7
14566,0,0,0,0,40,6,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
19613,70,5,80,9,40,2,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),8
3604,60,3,80,1,50,3,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),8
9650,60,3,0,0,70,9,1,Cybersecurity Roles and Operating System Security(EDX),8
13535,0,0,50,7,70,8,0,Linux Operating System Fundamentals(Udemy),7
11166,90,3,80,8,0,0,1,Introduction to Operating Systems(Udacity),7
5301,0,0,60,7,70,8,0,Understanding Computer Systems(FutureLearn),7
3829,0,3,70,1,50,8,0,Introduction to Operating Systems(Udacity),8
983,70,5,0,0,50,4,0,Operating Azure Stack Hub(PLuralSight),6
12469,80,3,90,6,60,9,0,Operating Running Systems(PluraSight),7
8368,70,5,70,8,50,3,1,Real Time Operating System(SWAYAM),7
13146,0,0,80,5,90,2,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),5
15554,70,3,70,3,70,3,1,Operating Systems from scratch - Part 2(Udemy),7
1977,90,8,80,1,70,2,0,Computer Hardware and Operating Systems(EDX),6
10023,70,3,0,0,0,0,0,Using Python to Interact with the Operating System(Coursera),4
6544,80,5,80,9,70,5,1,Operating System(Youtube -GateSmasher),5
12155,80,3,90,2,40,3,0,Advanced Operating Systems(Udacity),6
10300,80,8,0,0,60,9,1,Computer Hardware and Operating Systems(EDX),6
9702,0,0,70,8,60,8,1,Real Time Operating System(SWAYAM),3
8892,0,0,60,5,80,5,1,Using Python to Interact with the Operating System(Coursera),7
10922,70,5,70,2,60,2,1,Using Python to Interact with the Operating System(Coursera),7
19843,80,8,80,8,50,1,0,Operating Systems from scratch - Part 1(Udemy),6
7289,80,8,80,6,60,8,0,Operating Systems from scratch - Part 2(Udemy),6
9319,70,5,0,0,40,7,0,Operating Systems from scratch - Part 2(Udemy),7
12239,60,3,0,0,50,1,0,Introduction to Operating Systems(Udacity),6
7469,90,8,0,0,50,5,0,Real Time Operating System(SWAYAM),7
6833,80,8,60,9,70,8,0,Using Python to Interact with the Operating System(Coursera),5
2904,80,3,80,8,0,0,1,Advanced Operating Systems(Udacity),7
2293,0,0,70,6,50,8,0,Introduction to Operating Systems(Swayam),7
11662,0,0,80,8,60,8,1,Advanced Operating Systems(Udacity),7
20225,0,0,70,4,70,6,0,Become a Master of Operating Systems at comfort of your Home (Udemy),6
18247,80,5,80,4,80,9,0,Embedded and Real Time Operating Systems(Youtube),6
943,80,3,70,3,70,1,0,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
1478,80,8,60,2,80,2,1,Operating Running Systems(PluraSight),7
409,90,8,0,0,60,6,0,Embedded Hardware and Operating Systems(Coursera),6
17347,0,5,80,4,60,6,0,Computer Hardware and Operating Systems(EDX),5
17277,60,5,60,6,60,8,0,Cybersecurity Roles and Operating System Security(EDX),7
7459,0,0,90,3,80,4,0,Embedded and Real Time Operating Systems(Youtube),7
14123,70,8,70,9,80,8,0,Operating Systems and You: Becoming a Power User(Coursera),6
